MSN,YYYYMM,Value,Column_Order,Description,Unit
NGCGUUS,202008,4.09,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202008,18.27,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202008,95.9,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202008,8.48,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202008,54.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202008,2.85,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202008,12.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202008,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202008,2.5,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202008,96.2,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202009,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202009,4.07,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202009,16.85,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202009,96.6,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202009,8.45,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202009,55.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202009,3.3,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202009,13.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202009,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202009,2.49,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202009,96.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202010,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202010,3.5,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202010,12.26,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202010,96.6,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202010,7.59,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202010,60.8,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202010,3.29,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202010,12.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202010,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202010,2.58,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202010,96.3,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202011,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202011,3.81,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202011,10.99,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202011,96.8,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202011,7.64,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202011,65.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202011,3.98,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202011,13.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202011,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202011,3.09,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202011,96.7,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202012,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202012,3.57,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202012,9.75,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202012,96.8,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202012,7.39,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202012,69.7,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202012,4.11,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202012,13.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202012,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202012,3.3,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202012,96,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202013,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202013,3.43,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202013,10.78,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202013,96.3,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202013,7.48,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202013,64.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202013,3.32,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202013,13.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202013,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202013,2.49,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202013,96.2,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202101,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202101,3.27,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202101,9.62,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202101,96.7,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202101,7.38,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202101,70.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202101,4.04,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202101,13.5,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202101,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202101,3.35,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202101,96.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202102,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202102,12.1,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202102,9.28,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202102,96.7,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202102,7.35,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202102,70.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202102,9.32,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202102,12.3,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202102,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202102,18.06,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202102,95.5,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202103,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202103,4.09,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202103,10.47,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202103,96.4,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202103,8.01,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202103,67.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202103,4.41,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202103,13.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202103,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202103,3.44,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202103,95.9,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202104,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202104,3.92,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202104,12.27,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202104,96.3,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202104,8.49,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202104,64.7,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202104,4,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202104,13.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202104,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202104,3.19,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202104,96,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202105,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202105,4.34,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202105,14.07,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202105,96.1,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202105,8.99,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202105,60.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202105,4.11,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202105,13.3,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202105,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202105,3.39,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202105,96.5,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202106,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202106,5.05,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202106,17.74,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202106,96.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202106,9.59,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202106,57.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202106,4.16,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202106,13,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202106,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202106,3.66,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202106,96.9,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202107,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202107,5.58,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202107,19.81,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202107,96.6,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202107,9.92,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202107,55.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202107,4.69,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202107,13,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202107,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202107,4.23,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202107,95.6,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202108,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202108,5.72,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202108,20.86,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202108,96.5,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202108,10.23,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202108,55,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202108,4.95,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202108,13.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202108,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202108,4.59,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202108,95.9,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202109,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202109,5.95,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202109,20.13,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202109,96.6,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202109,10.31,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
